state_name,state_abbreviation,state_FIPS,county_name,county_FIPS
Arkansas,AR,5000,Monroe County,05095
Arkansas,AR,5000,Montgomery County,05097
Arkansas,AR,5000,Nevada County,05099
Arkansas,AR,5000,Newton County,05101
Arkansas,AR,5000,Ouachita County,05103
Arkansas,AR,5000,Perry County,05105
Arkansas,AR,5000,Phillips County,05107
Arkansas,AR,5000,Pike County,05109
Arkansas,AR,5000,Poinsett County,05111
Arkansas,AR,5000,Polk County,05113
Arkansas,AR,5000,Pope County,05115
Arkansas,AR,5000,Prairie County,05117
Arkansas,AR,5000,Pulaski County,05119
Arkansas,AR,5000,Randolph County,05121
Arkansas,AR,5000,St. Francis County,05123
Arkansas,AR,5000,Saline County,05125
Arkansas,AR,5000,Scott County,05127
Arkansas,AR,5000,Searcy County,05129
Arkansas,AR,5000,Sebastian County,05131
Arkansas,AR,5000,Sevier County,05133
Arkansas,AR,5000,Sharp County,05135
Arkansas,AR,5000,Stone County,05137
Arkansas,AR,5000,Union County,05139
Arkansas,AR,5000,Van Buren County,05141
Arkansas,AR,5000,Washington County,05143
Arkansas,AR,5000,White County,05145
Arkansas,AR,5000,Woodruff County,05147
Arkansas,AR,5000,Yell County,05149
California,CA,6000,Alameda County,06001
California,CA,6000,Alpine County,06003
California,CA,6000,Amador County,06005
California,CA,6000,Butte County,06007
California,CA,6000,Calaveras County,06009
California,CA,6000,Colusa County,06011
California,CA,6000,Contra Costa County,06013
California,CA,6000,Del Norte County,06015
California,CA,6000,El Dorado County,06017
California,CA,6000,Fresno County,06019
California,CA,6000,Glenn County,06021
California,CA,6000,Humboldt County,06023
California,CA,6000,Imperial County,06025
California,CA,6000,Inyo County,06027
California,CA,6000,Kern County,06029
California,CA,6000,Kings County,06031
California,CA,6000,Lake County,06033
California,CA,6000,Lassen County,06035
California,CA,6000,Los Angeles County,06037
California,CA,6000,Madera County,06039
California,CA,6000,Marin County,06041
California,CA,6000,Mariposa County,06043
California,CA,6000,Mendocino County,06045
California,CA,6000,Merced County,06047
California,CA,6000,Modoc County,06049
California,CA,6000,Mono County,06051
California,CA,6000,Monterey County,06053
California,CA,6000,Napa County,06055
California,CA,6000,Nevada County,06057
California,CA,6000,Orange County,06059
California,CA,6000,Placer County,06061
California,CA,6000,Plumas County,06063
California,CA,6000,Riverside County,06065
California,CA,6000,Sacramento County,06067
California,CA,6000,San Benito County,06069
California,CA,6000,San Bernardino County,06071
California,CA,6000,San Diego County,06073
California,CA,6000,San Francisco County,06075
California,CA,6000,San Joaquin County,06077
California,CA,6000,San Luis Obispo County,06079
California,CA,6000,San Mateo County,06081
California,CA,6000,Santa Barbara County,06083
California,CA,6000,Santa Clara County,06085
California,CA,6000,Santa Cruz County,06087
California,CA,6000,Shasta County,06089
California,CA,6000,Sierra County,06091
California,CA,6000,Siskiyou County,06093
California,CA,6000,Solano County,06095
California,CA,6000,Sonoma County,06097
California,CA,6000,Stanislaus County,06099
California,CA,6000,Sutter County,06101
California,CA,6000,Tehama County,06103
California,CA,6000,Trinity County,06105
California,CA,6000,Tulare County,06107
California,CA,6000,Tuolumne County,06109
California,CA,6000,Ventura County,06111
California,CA,6000,Yolo County,06113
California,CA,6000,Yuba County,06115
Colorado,CO,8000,Adams County,08001
Colorado,CO,8000,Alamosa County,08003
Colorado,CO,8000,Arapahoe County,08005
Colorado,CO,8000,Archuleta County,08007
Colorado,CO,8000,Baca County,08009
Colorado,CO,8000,Bent County,08011
Colorado,CO,8000,Boulder County,08013
Colorado,CO,8000,Broomfield County,08014
Colorado,CO,8000,Chaffee County,08015
Colorado,CO,8000,Cheyenne County,08017
Colorado,CO,8000,Clear Creek County,08019
Colorado,CO,8000,Conejos County,08021
Colorado,CO,8000,Costilla County,08023
Colorado,CO,8000,Crowley County,08025
Colorado,CO,8000,Custer County,08027
